N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
167,파미셀,"21,100",400,-1.86%,500,"12,651","59,959",7.65,"1,295,185",183.48,8.78,
168,DGB금융지주,"7,400",10,-0.13%,"5,000","12,517","169,146",46.89,"248,288",4.03,7.31,
169,일양약품,"64,100","1,400",-2.14%,"2,500","12,234","19,086",8.27,"178,764",118.48,5.20,
170,이노션,"60,300",300,-0.50%,500,"12,060","20,000",29.50,"35,083",18.05,9.88,
171,SK네트웍스,"4,820",25,+0.52%,"2,500","11,963","248,188",11.98,"259,699",-40.85,-5.85,
172,TIGER 단기통안채,"100,755",0,0.00%,0,"11,793","11,705",6.22,"3,933",N/A,N/A,
173,KODEX 코스닥150 레버리지,"12,720",110,-0.86%,0,"11,715","92,100",2.87,"17,536,934",N/A,N/A,
174,롯데관광개발,"16,700",350,+2.14%,500,"11,569","69,276",4.89,"343,410",-25.34,-4.77,
175,JB금융지주,"5,840",0,0.00%,"5,000","11,504","196,983",39.19,"186,180",3.53,10.36,
176,아시아나항공,"5,140",165,+3.32%,"5,000","11,474","223,235",5.94,"10,247,943",-0.35,-90.67,
177,신세계인터내셔날,"160,000","7,000",+4.58%,"5,000","11,424","7,140",4.93,"45,027",18.45,12.98,
178,코오롱인더,"42,300","1,200",+2.92%,"5,000","11,412","26,979",14.76,"268,483",7.57,1.58,
179,금호타이어,"3,955",15,-0.38%,"5,000","11,361","287,260",4.28,"206,733",-11.33,-3.30,
180,진원생명과학,"25,250",850,-3.26%,"1,000","11,303","44,763",11.38,"1,114,071",-86.18,-28.50,
181,대웅제약,"97,300",200,-0.21%,"2,500","11,274","11,587",4.91,"54,493",-680.42,4.34,
182,더블유게임즈,"59,800","1,400",-2.29%,500,"10,988","18,375",16.13,"72,789",10.25,18.93,
183,대한전선,"1,270",5,+0.40%,500,"10,877","856,473",2.11,"44,760,328",84.67,-3.99,
184,한국콜마,"47,000",150,+0.32%,500,"10,754","22,881",25.97,"97,301",48.86,6.39,
185,KODEX MSCI Korea TR,"11,260",95,+0.85%,0,"10,562","93,800",6.51,"295,303",N/A,N/A,
186,SK가스,"112,500","1,000",+0.90%,"5,000","10,384","9,230",8.90,"7,938",2.63,9.85,
187,코스맥스,"100,500","1,000",-0.99%,500,"10,100","10,050",26.40,"37,956",26.20,10.45,
188,휴켐스,"24,700",150,+0.61%,"1,000","10,097","40,879",8.84,"118,015",20.95,10.82,
189,KBSTAR 200,"35,145",320,+0.92%,0,"9,858","28,050",0.28,"357,571",N/A,N/A,
190,KODEX 인버스,"4,815",35,-0.72%,0,"9,601","199,400",1.09,"22,607,531",N/A,N/A,
191,GKL,"15,500",0,0.00%,500,"9,588","61,856",6.21,"452,171",-72.09,12.62,
192,영풍,"520,000","8,000",-1.52%,"5,000","9,579","1,842",4.74,"1,159",4.29,7.40,
193,다우기술,"21,300",150,-0.70%,500,"9,557","44,867",22.60,"83,522",5.02,14.62,
194,롯데리츠,"5,550",40,+0.73%,500,"9,544","171,969",8.92,"207,326",61.67,1.80,
195,KODEX 단기채권PLUS,"102,795",5,0.00%,0,"9,450","9,193",0.00,"788,419",N/A,N/A,
196,태광산업,"841,000","10,000",-1.18%,"5,000","9,364","1,113",9.03,472,7.18,4.34,
197,코리안리,"7,700",30,+0.39%,500,"9,268","120,369",27.31,"221,989",5.51,8.04,
198,쿠쿠홈시스,"41,100",750,-1.79%,100,"9,222","22,437",5.74,"22,007",12.04,16.10,
199,KG동부제철,"9,010",350,+4.04%,"5,000","9,011","100,009",0.36,"203,824",9.40,-7.44,
200,롯데칠성,"100,000","1,300",+1.32%,500,"8,975","8,975",12.84,"35,346",-9.91,-11.68,
